DATETIMEUTC,cpu_usage,cpu_usagemhz,mem_active,mem_consumed,mem_granted,mem_usage,net_received,net_transmitted,net_usage,VM_ID,day,weekday,hour,minute,hist_1D8H,hist_1D4H,hist_1D2H,hist_1D1H,hist_1D,hist_1D15m,hist_1D30m,hist_1D45m
3/14/17 2:15,643.3333333,320.6666667,36348.33333,2572288,2572288,85.66666667,0,0,0,1,14,1,2,15,644.3333333,643,641.6666667,640,644,642.6666667,643.6666667,639.6666667
3/14/17 2:30,644.3333333,321.6666667,22368,2572288,2572288,52.33333333,0,0,0,1,14,1,2,30,641.6666667,644.6666667,642,639.6666667,643,644,642.6666667,643.6666667
3/14/17 2:45,641,319.3333333,34484.33333,2572288,2572288,81,0,0,0,1,14,1,2,45,645,643.3333333,644,643.6666667,642.3333333,643,644,642.6666667
3/14/17 3:00,640,319.3333333,19572,2572288,2572288,45.66666667,0,0,0,1,14,1,3,0,642.6666667,643.3333333,642,642.6666667,642,642.3333333,643,644
3/14/17 3:15,642,320,43805,2572288,2572288,103.3333333,0,0,0,1,14,1,3,15,643.6666667,645.3333333,640,644,640.6666667,642,642.3333333,643
3/14/17 3:30,643,320.6666667,55922.66667,2572288,2572288,132.6666667,0,0,0,1,14,1,3,30,644.3333333,644.3333333,639.6666667,643,646.3333333,640.6666667,642,642.3333333
3/14/17 3:45,640.3333333,319,30756,2573425.667,2573425.667,72.33333333,0,0,0,1,14,1,3,45,641.3333333,645.6666667,643.6666667,642.3333333,642.3333333,646.3333333,640.6666667,642
3/14/17 4:00,643.3333333,321,72698.66667,2574336,2574336,172,0,0,0,1,14,1,4,0,643.6666667,641.3333333,642.6666667,642,642.3333333,642.3333333,646.3333333,640.6666667
3/14/17 4:15,643.6666667,321,41009,2574336,2574336,96.66666667,0,0,0,1,14,1,4,15,643.3333333,641.6666667,644,640.6666667,640.6666667,642.3333333,642.3333333,646.3333333
3/14/17 4:30,644.6666667,321.6666667,37281,2574336,2574336,88,0,0,0,1,14,1,4,30,641,642,643,646.3333333,640.3333333,640.6666667,642.3333333,642.3333333
3/14/17 4:45,644.3333333,321,41008.66667,2574336,2574336,96.66666667,0,0,0,1,14,1,4,45,642.6666667,644,642.3333333,642.3333333,640.6666667,640.3333333,640.6666667,642.3333333
3/14/17 5:00,644.3333333,321.3333333,50329.66667,2574336,2574336,118.6666667,0,0,0,1,14,1,5,0,641,642,642,642.3333333,644.3333333,640.6666667,640.3333333,640.6666667
3/14/17 5:15,642.3333333,320.3333333,36348.66667,2574336,2574336,85.33333333,0,0,0,1,14,1,5,15,641.6666667,640,640.6666667,640.6666667,644,644.3333333,640.6666667,640.3333333
3/14/17 5:30,642.6666667,320.6666667,47533.33333,2574336,2574336,112.3333333,0,0,0,1,14,1,5,30,641.3333333,639.6666667,646.3333333,640.3333333,642.6666667,644,644.3333333,640.6666667
3/14/17 5:45,643,320.6666667,34484.33333,2574336,2574336,81.33333333,0,0,0,1,14,1,5,45,642,643.6666667,642.3333333,640.6666667,640.3333333,642.6666667,644,644.3333333
3/14/17 6:00,643.6666667,321.3333333,38212,2574336,2574336,90,0,0,0,1,14,1,6,0,641.3333333,642.6666667,642.3333333,644.3333333,643.3333333,640.3333333,642.6666667,644
3/14/17 6:15,642,320.5,70834.33333,2574336,2574336,167.6666667,0,0,0,1,14,1,6,15,643,644,640.6666667,644,642.6666667,643.3333333,640.3333333,642.6666667
3/14/17 6:30,644,321,68038.33333,2574336,2574336,161,0,0,0,1,14,1,6,30,644.6666667,643,640.3333333,642.6666667,643.3333333,642.6666667,643.3333333,640.3333333
3/14/17 6:45,643.6666667,321,29824,2574336,2574336,70,0,0,0,1,14,1,6,45,643.3333333,642.3333333,640.6666667,640.3333333,640,643.3333333,642.6666667,643.3333333
3/14/17 7:00,643.3333333,321,46600.33333,2574336,2574336,110,0,0,0,1,14,1,7,0,643.3333333,642,644.3333333,643.3333333,642,640,643.3333333,642.6666667
3/14/17 7:15,643.3333333,320.6666667,45669,2574336,2574336,107.6666667,0,0,0,1,14,1,7,15,645.3333333,640.6666667,644,642.6666667,640.6666667,642,640,643.3333333
3/14/17 7:30,640.6666667,319.3333333,53125.33333,2574336,2574336,125.3333333,0,0,0,1,14,1,7,30,644.3333333,646.3333333,642.6666667,643.3333333,644,640.6666667,642,640
3/14/17 7:45,639.6666667,318.6666667,36348.33333,2574336,2574336,85.33333333,0,0,0,1,14,1,7,45,645.6666667,642.3333333,640.3333333,640,642,644,640.6666667,642
3/14/17 8:00,642,320,21436.33333,2574336,2574336,50.66666667,0,0,0,1,14,1,8,0,641.3333333,642.3333333,643.3333333,642,642.6666667,642,644,640.6666667
3/14/17 8:15,642.6666667,320.3333333,59650,2574336,2574336,141,0,0,0,1,14,1,8,15,641.6666667,640.6666667,642.6666667,640.6666667,641,642.6666667,642,644
3/14/17 8:30,642,320,17708.33333,2574336,2574336,41.66666667,0,0,0,1,14,1,8,30,642,640.3333333,643.3333333,644,641.3333333,641,642.6666667,642
3/14/17 8:45,643,320.6666667,57785.33333,2574336,2574336,136.6666667,0,0,0,1,14,1,8,45,644,640.6666667,640,642,656,641.3333333,641,642.6666667
3/14/17 9:00,642.3333333,320.3333333,81087.33333,2574336,2574336,192,0,0,0,1,14,1,9,0,642,644.3333333,642,642.6666667,642,656,641.3333333,641
