DATETIMEUTC,Unnamed:0,cpu_usage,cpu_usagemhz,mem_active,mem_consumed,mem_granted,mem_usage,net_received,net_transmitted,net_usage,GLOBAL_CUSTOMER_ID,day,weekday,hour,minute,hist-1D8H,hist-1D4H,hist-1D2H,hist-1D1H,hist-1D,hist-1D15m,hist-1D30m,hist-1D45m
2017-03-14 02:15:00,2335.33333333,643.333333333,320.666666667,36348.3333333,2572288.0,2572288.0,85.6666666667,0.0,0.0,0.0,,14,1,2,15,644.333333333,643.0,641.666666667,640.0,644.0,642.666666667,643.666666667,639.666666667
2017-03-14 02:30:00,2285.33333333,644.333333333,321.666666667,22368.0,2572288.0,2572288.0,52.3333333333,0.0,0.0,0.0,,14,1,2,30,641.666666667,644.666666667,642.0,639.666666667,643.0,644.0,642.666666667,643.666666667
2017-03-14 02:45:00,2329.0,641.0,319.333333333,34484.3333333,2572288.0,2572288.0,81.0,0.0,0.0,0.0,,14,1,2,45,645.0,643.333333333,644.0,643.666666667,642.333333333,643.0,644.0,642.666666667
2017-03-14 03:00:00,2275.66666667,640.0,319.333333333,19572.0,2572288.0,2572288.0,45.6666666667,0.0,0.0,0.0,,14,1,3,0,642.666666667,643.333333333,642.0,642.666666667,642.0,642.333333333,643.0,644.0
2017-03-14 03:15:00,2373.0,642.0,320.0,43805.0,2572288.0,2572288.0,103.333333333,0.0,0.0,0.0,,14,1,3,15,643.666666667,645.333333333,640.0,644.0,640.666666667,642.0,642.333333333,643.0
2017-03-14 03:30:00,2296.66666667,643.0,320.666666667,55922.6666667,2572288.0,2572288.0,132.666666667,0.0,0.0,0.0,,14,1,3,30,644.333333333,644.333333333,639.666666667,643.0,646.333333333,640.666666667,642.0,642.333333333
2017-03-14 03:45:00,2313.0,640.333333333,319.0,30756.0,2573425.66667,2573425.66667,72.3333333333,0.0,0.0,0.0,,14,1,3,45,641.333333333,645.666666667,643.666666667,642.333333333,642.333333333,646.333333333,640.666666667,642.0
2017-03-14 04:00:00,2325.33333333,643.333333333,321.0,72698.6666667,2574336.0,2574336.0,172.0,0.0,0.0,0.0,,14,1,4,0,643.666666667,641.333333333,642.666666667,642.0,642.333333333,642.333333333,646.333333333,640.666666667
2017-03-14 04:15:00,2336.33333333,643.666666667,321.0,41009.0,2574336.0,2574336.0,96.6666666667,0.0,0.0,0.0,,14,1,4,15,643.333333333,641.666666667,644.0,640.666666667,640.666666667,642.333333333,642.333333333,646.333333333
2017-03-14 04:30:00,2301.66666667,644.666666667,321.666666667,37281.0,2574336.0,2574336.0,88.0,0.0,0.0,0.0,,14,1,4,30,641.0,642.0,643.0,646.333333333,640.333333333,640.666666667,642.333333333,642.333333333
2017-03-14 04:45:00,2350.33333333,644.333333333,321.0,41008.6666667,2574336.0,2574336.0,96.6666666667,0.0,0.0,0.0,,14,1,4,45,642.666666667,644.0,642.333333333,642.333333333,640.666666667,640.333333333,640.666666667,642.333333333
2017-03-14 05:00:00,2345.0,644.333333333,321.333333333,50329.6666667,2574336.0,2574336.0,118.666666667,0.0,0.0,0.0,,14,1,5,0,641.0,642.0,642.0,642.333333333,644.333333333,640.666666667,640.333333333,640.666666667
2017-03-14 05:15:00,2306.0,642.333333333,320.333333333,36348.6666667,2574336.0,2574336.0,85.3333333333,0.0,0.0,0.0,,14,1,5,15,641.666666667,640.0,640.666666667,640.666666667,644.0,644.333333333,640.666666667,640.333333333
2017-03-14 05:30:00,2364.66666667,642.666666667,320.666666667,47533.3333333,2574336.0,2574336.0,112.333333333,0.0,0.0,0.0,,14,1,5,30,641.333333333,639.666666667,646.333333333,640.333333333,642.666666667,644.0,644.333333333,640.666666667
2017-03-14 05:45:00,2352.66666667,643.0,320.666666667,34484.3333333,2574336.0,2574336.0,81.3333333333,0.0,0.0,0.0,,14,1,5,45,642.0,643.666666667,642.333333333,640.666666667,640.333333333,642.666666667,644.0,644.333333333
2017-03-14 06:00:00,2310.0,643.666666667,321.333333333,38212.0,2574336.0,2574336.0,90.0,0.0,0.0,0.0,,14,1,6,0,641.333333333,642.666666667,642.333333333,644.333333333,643.333333333,640.333333333,642.666666667,644.0
2017-03-14 06:15:00,2349.66666667,642.0,320.5,70834.3333333,2574336.0,2574336.0,167.666666667,0.0,0.0,0.0,,14,1,6,15,643.0,644.0,640.666666667,644.0,642.666666667,643.333333333,640.333333333,642.666666667
2017-03-14 06:30:00,2296.0,644.0,321.0,68038.3333333,2574336.0,2574336.0,161.0,0.0,0.0,0.0,,14,1,6,30,644.666666667,643.0,640.333333333,642.666666667,643.333333333,642.666666667,643.333333333,640.333333333
2017-03-14 06:45:00,2294.33333333,643.666666667,321.0,29824.0,2574336.0,2574336.0,70.0,0.0,0.0,0.0,,14,1,6,45,643.333333333,642.333333333,640.666666667,640.333333333,640.0,643.333333333,642.666666667,643.333333333
2017-03-14 07:00:00,2362.66666667,643.333333333,321.0,46600.3333333,2574336.0,2574336.0,110.0,0.0,0.0,0.0,,14,1,7,0,643.333333333,642.0,644.333333333,643.333333333,642.0,640.0,643.333333333,642.666666667
2017-03-14 07:15:00,2355.0,643.333333333,320.666666667,45669.0,2574336.0,2574336.0,107.666666667,0.0,0.0,0.0,,14,1,7,15,645.333333333,640.666666667,644.0,642.666666667,640.666666667,642.0,640.0,643.333333333
2017-03-14 07:30:00,2322.33333333,640.666666667,319.333333333,53125.3333333,2574336.0,2574336.0,125.333333333,0.0,0.0,0.0,,14,1,7,30,644.333333333,646.333333333,642.666666667,643.333333333,644.0,640.666666667,642.0,640.0
2017-03-14 07:45:00,2305.33333333,639.666666667,318.666666667,36348.3333333,2574336.0,2574336.0,85.3333333333,0.0,0.0,0.0,,14,1,7,45,645.666666667,642.333333333,640.333333333,640.0,642.0,644.0,640.666666667,642.0
2017-03-14 08:00:00,2300.0,642.0,320.0,21436.3333333,2574336.0,2574336.0,50.6666666667,0.0,0.0,0.0,,14,1,8,0,641.333333333,642.333333333,643.333333333,642.0,642.666666667,642.0,644.0,640.666666667
